Name,Position,Image URL,Profile URL,Nationality,Age,Height,Weight
Ronan Foxe,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/12946.png.webp?maxw=240,https://www.rugbypass.com/players/ronan-foxe/,Ireland,Unknown,188cm,122kg
Thomas Ahern,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/5471.png.webp?maxw=240,https://www.rugbypass.com/players/thomas-ahern/,Ireland,25,206cm,117kg
Cian Hurley,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/5607.png.webp?maxw=240,https://www.rugbypass.com/players/cian-hurley/,Ireland,24,196cm,106kg
Evan O'Connell,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/8626.png.webp?maxw=240,https://www.rugbypass.com/players/evan-oconnell/,Ireland,20,201cm,109kg
Michael Foy,Lock,https://eu-cdn.rugbypass.com/webp-images/images/team-images/logos/png/310.png.webp?maxw=160&v=1725488461,https://www.rugbypass.com/players/michael-foy/,Unknown,19,Unknown,Unknown
Jean Kleyn,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/2039.png.webp?maxw=240,https://www.rugbypass.com/players/jean-kleyn/,Unknown,31,203cm,121kg
Tadhg Beirne,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/1810.png.webp?maxw=240,https://www.rugbypass.com/players/tadgh-beirne/,Ireland,33,198cm,113kg
Fineen Wycherley,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/1953.png.webp?maxw=240,https://www.rugbypass.com/players/fineen-wycherley/,Ireland,27,193cm,116kg
Edwin Edogbo,Lock,https://eu-cdn.rugbypass.com/webp-images/images/players/head/7328.png.webp?maxw=240,https://www.rugbypass.com/players/edwin-edogbo/,Ireland,22,196cm,122kg
Jack O'Donoghue,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/2971.png.webp?maxw=240,https://www.rugbypass.com/players/jack-odonoghue/,Ireland,31,191cm,110kg
Sean Edogbo,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/15224.png.webp?maxw=240,https://www.rugbypass.com/players/sean-edogbo/,Ireland,20,196cm,105kg
Peter O'Mahony,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/2914.png.webp?maxw=240,https://www.rugbypass.com/players/peter-omahony/,Ireland,35,191cm,107kg
Jack Daly,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/5490.png.webp?maxw=240,https://www.rugbypass.com/players/jack-daly/,Ireland,26,183cm,107kg
John Hodnett,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/4804.png.webp?maxw=240,https://www.rugbypass.com/players/john-hodnett/,Ireland,26,183cm,105kg
Ruadhan Quinn,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/7749.png.webp?maxw=240,https://www.rugbypass.com/players/ruadhan-quinn/,Ireland,21,191cm,113kg
Gavin Coombes,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/3272.png.webp?maxw=240,https://www.rugbypass.com/players/gavin-coombes/,Ireland,27,198cm,110kg
Luke Murphy,Back Row,https://eu-cdn.rugbypass.com/webp-images/images/players/head/15226.png.webp?maxw=240,https://www.rugbypass.com/players/luke-murphy/,Ireland,20,Unknown,Unknown
Conor Murray,Scrum Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/2915.png.webp?maxw=240,https://www.rugbypass.com/players/conor-murray/,Ireland,35,188cm,94kg
Paddy Patterson,Scrum Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/3671.png.webp?maxw=240,https://www.rugbypass.com/players/paddy-patterson/,Ireland,26,173cm,75kg
Craig Casey,Scrum Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/4364.png.webp?maxw=240,https://www.rugbypass.com/players/craig-casey/,Ireland,25,165cm,76kg
Ethan Coughlan,Scrum Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/6376.png.webp?maxw=240,https://www.rugbypass.com/players/ethan-coughlan/,Ireland,22,175cm,81kg
Jack Oliver,Scrum Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/12956.png.webp?maxw=240,https://www.rugbypass.com/players/jack-oliver/,Ireland,21,174cm,77kg
Billy Burns,Fly Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/831.png.webp?maxw=240,https://www.rugbypass.com/players/billy-burns/,England,30,185cm,86kg
Jack Crowley,Fly Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/5383.png.webp?maxw=240,https://www.rugbypass.com/players/jack-crowley/,Ireland,25,183cm,88kg
Tony Butler,Fly Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/6377.png.webp?maxw=240,https://www.rugbypass.com/players/tony-butler/,Ireland,22,178cm,84kg
Dylan Hicks,Fly Half,https://eu-cdn.rugbypass.com/webp-images/images/players/head/16942.png.webp?maxw=240,https://www.rugbypass.com/players/dylan-hicks/,Ireland,20,185cm,85kg
Thaakir Abrahams,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/4904.png.webp?maxw=240,https://www.rugbypass.com/players/thaakir-abrahams/,South Africa,26,175cm,75kg
Liam Coombes,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/3583.png.webp?maxw=240,https://www.rugbypass.com/players/liam-coombes/,Ireland,27,191cm,89kg
Shay McCarthy,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/14654.png.webp?maxw=240,https://www.rugbypass.com/players/shay-mccarthy/,Ireland,22,188cm,95kg
Rory Scannell,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/210.png.webp?maxw=240,https://www.rugbypass.com/players/rory-scannell/,Ireland,31,178cm,96kg
Alex Nankivell,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/2389.png.webp?maxw=240,https://www.rugbypass.com/players/alex-nankivell/,New Zealand,28,188cm,98kg
Sean O'Brien,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/7957.png.webp?maxw=240,https://www.rugbypass.com/players/sean-obrien-3/,Ireland,26,187cm,101kg
Gene O'Leary Kareem,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/16943.png.webp?maxw=240,https://www.rugbypass.com/players/gene-oleary-kareem/,Ireland,19,Unknown,Unknown
Bryan Fitzgerald,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/16906.png.webp?maxw=240,https://www.rugbypass.com/players/bryan-fitzgerald/,Ireland,26,180cm,102kg
Thomas Farrell,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/1961.png.webp?maxw=240,https://www.rugbypass.com/players/thomas-farrell/,Ireland,31,188cm,100kg
Fionn Gibbons,Centre,https://eu-cdn.rugbypass.com/webp-images/images/players/head/7748.png.webp?maxw=240,https://www.rugbypass.com/players/fionn-gibbons/,Ireland,22,193cm,100kg
Calvin Nash,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/1938.png.webp?maxw=240,https://www.rugbypass.com/players/calvin-nash/,Ireland,27,178cm,90kg
Diarmuid Kilgallen,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/5183.png.webp?maxw=240,https://www.rugbypass.com/players/diarmuid-kilgallen/,Ireland,24,193cm,92kg
Mike Haley,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/858.png.webp?maxw=240,https://www.rugbypass.com/players/mike-haley/,Ireland,30,191cm,93kg
Patrick Campbell,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/6372.png.webp?maxw=240,https://www.rugbypass.com/players/patrick-campbell/,Ireland,22,178cm,87kg
Ben O'Connor,Outside Back,https://eu-cdn.rugbypass.com/webp-images/images/players/head/14902.png.webp?maxw=240,https://www.rugbypass.com/players/ben-oconnor/,Ireland,20,188cm,94kg
